# id	source_path	feature_area	expected_edit_mode	expected_save_format	expected_page_count	layout_tolerance_px	roundtrip_mode	required_issue_codes	web_gate	ubuntu_gate	windows_gate	hancom_reference	notes
HQ-001	../samples/task-001.hwp	파일/기본렌더링	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	Hwp 열기/저장	기본 HWP 열기, 저장, 재열기 승격 샘플
HQ-002	../samples/field-01.hwp	입력/필드	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	입력 필드	필드 입력과 저장 보존 검증
HQ-003	../samples/footnote-01.hwp	쪽/각주	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	각주	각주 번호, 본문 위치, 저장 재열기 검증
HQ-004	../samples/endnote-01.hwp	쪽/미주	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	미주	미주 번호와 위치 검증
HQ-005	../samples/eq-01.hwp	입력/수식	editable-safe	hwp	TBD	2	none	none	TBD	TBD	TBD	수식	수식 렌더링 보존 우선
HQ-006	../samples/tac-case-001.hwp	표/배치	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	표	표 treat-as-char 배치 검증
HQ-007	../samples/tac-img-02.hwpx	그림/배치	editable-safe	hwpx	TBD	2	save-reparse	none	TBD	TBD	TBD	그림	그림 배치와 저장 재열기 검증
HQ-008	../samples/table-vpos-01.hwpx	표/위치	editable-safe	hwpx	TBD	2	save-reparse	hwpx-field-missing-range,hwpx-char-overlap	TBD	TBD	TBD	표 위치	기존 알려진 이슈를 유지하며 위치 허용오차 검증
HQ-009	../rhwp-studio/public/samples/form-002.hwpx	입력/양식	editable-safe	hwpx	TBD	2	save-reparse	none	TBD	TBD	TBD	양식 컨트롤	폼 컨트롤 렌더링과 저장 재열기 검증
HQ-010	../rhwp-studio/public/samples/number-bullet.hwp	서식/문단번호	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	문단 번호	번호/글머리표 렌더링 검증
HQ-011	../samples/shift-return.hwp	입력/줄나눔	editable-safe	hwp	TBD	2	save-reparse	none	TBD	TBD	TBD	줄 나눔	Shift+Enter와 문단 나눔 차이 검증
HQ-012	../samples/biz_plan.hwp	파일/실문서	editable-safe	hwp	TBD	3	save-reparse	none	TBD	TBD	TBD	실문서	큰 문서 성능과 페이지 수 검증
HQ-013	../samples/hwpctl_API_v2.4.hwp	플랫폼/hwpctl	editable-safe	hwp	TBD	2	none	none	TBD	TBD	TBD	hwpctl API	Action 호환 매핑 참조 샘플
