id	area	hancom_shortcut	hancom_feature	rhwp_command	rhwp_shortcut	context	source	status	priority	test	notes
KS-FILE-001	파일	Alt+N	새 문서	file:new-doc	Alt+N	any	Hancom Hwp shortcut table	implemented	P0	global-shortcut.test.mjs	시작 문서가 없어도 전역 단축키로 동작해야 함
KS-FILE-002	파일	Ctrl+O	불러오기	file:open	Ctrl+O	any	Hancom Hwp shortcut table	implemented	P0	manual	웹/데스크톱 파일 선택 경로 분리 검증 필요
KS-FILE-003	파일	Alt+O	불러오기	file:open	Alt+O	any	Hancom Hwp shortcut table	implemented	P1	manual	한컴 호환 별칭
KS-FILE-004	파일	Ctrl+S	저장	file:save	Ctrl+S	any	Hancom Hwp shortcut table	partial	P0	manual	웹 권한/데스크톱 저장 경로별 검증 필요
KS-FILE-005	파일	Ctrl+Shift+S	다른 이름으로 저장	file:save-as	Ctrl+Shift+S	any	Hancom Hwp shortcut table	partial	P0	manual	브라우저 충돌 가능성 및 저장 포맷별 검증 필요
KS-FILE-006	파일	Ctrl+P	인쇄	file:print	Ctrl+P	any	Hancom Hwp shortcut table	partial	P1	manual	웹 인쇄와 데스크톱 인쇄 프리뷰 차이 검증 필요
KS-EDIT-001	편집	Ctrl+Z	되돌리기	edit:undo	Ctrl+Z	any	Hancom Hwp shortcut table	implemented	P0	editing-core-regression.test.mjs	Snapshot 기반 Undo
KS-EDIT-002	편집	Ctrl+Y	다시 실행	edit:redo	Ctrl+Y	any	Hancom Hwp shortcut table	implemented	P0	editing-core-regression.test.mjs	Ctrl+Shift+Z도 별칭 지원
KS-EDIT-003	편집	Ctrl+X	오려 두기	edit:cut	Ctrl+X	any	Hancom Hwp shortcut table	partial	P0	manual	텍스트/개체/표 선택 모드별 검증 필요
KS-EDIT-004	편집	Ctrl+C	복사	edit:copy	Ctrl+C	any	Hancom Hwp shortcut table	partial	P0	manual	시스템 클립보드와 내부 클립보드 경로 분리
KS-EDIT-005	편집	Ctrl+V	붙이기	edit:paste	Ctrl+V	any	Hancom Hwp shortcut table	partial	P0	copy-paste.test.mjs	서식 붙여넣기와 개체 붙여넣기 추가 검증 필요
KS-EDIT-006	편집	Ctrl+A	전체 선택	edit:select-all	Ctrl+A	any	Hancom Hwp shortcut table	implemented	P0	editing-core-regression.test.mjs	블록 서식 회귀의 선행 조건
KS-EDIT-007	편집	Ctrl+Q,F	찾기	edit:find	Ctrl+Q,F	body	Hancom Hwp shortcut table	partial	P1	manual	찾기 UI와 선택 시작점 검증 필요
KS-EDIT-008	편집	Ctrl+F2	찾아 바꾸기	edit:find-replace	Ctrl+F2	body	Hancom Hwp shortcut table	partial	P1	manual	치환 저장/Undo 검증 필요
KS-FORMAT-001	서식	Ctrl+B	굵게	format:bold	Ctrl+B	body	Hancom Hwp shortcut table	implemented	P0	manual	블록/입력 대기 상태 차이 검증 필요
KS-FORMAT-002	서식	Ctrl+I	기울임	format:italic	Ctrl+I	body	Hancom Hwp shortcut table	implemented	P1	manual	한글 글꼴별 렌더링 검증 필요
KS-FORMAT-003	서식	Ctrl+U	밑줄	format:underline	Ctrl+U	body	Hancom Hwp shortcut table	implemented	P1	manual	밑줄 종류는 CharShape 세부 항목으로 분리
KS-FORMAT-004	서식	Alt+L	글자 모양	format:char-shape	Alt+L	body	Hancom Hwp shortcut table	partial	P0	manual	선택이 없을 때 입력 속성 변경 동작은 별도 검증 필요
KS-FORMAT-005	서식	Alt+T	문단 모양	format:para-shape	Alt+T	body	Hancom Hwp shortcut table	partial	P0	manual	다중 문단/표 셀 문단 검증 필요
KS-FORMAT-006	서식	Ctrl+]	글자 크기 크게	format:font-size-increase	Ctrl+]	body	Hancom Hwp shortcut table	implemented	P0	block-font-size-shortcuts.test.mjs	선택 유지, CharShape, Undo/Redo 검증
KS-FORMAT-007	서식	Alt+Shift+E	글자 크기 크게	format:font-size-increase	Alt+Shift+E	body	Hancom Hwp shortcut table	implemented	P0	block-font-size-shortcuts.test.mjs	한컴 기본 별칭 추가
KS-FORMAT-008	서식	Ctrl+[	글자 크기 작게	format:font-size-decrease	Ctrl+[	body	Hancom Hwp shortcut table	implemented	P0	block-font-size-shortcuts.test.mjs	선택 유지, CharShape, Undo/Redo 검증
KS-FORMAT-009	서식	Alt+Shift+R	글자 크기 작게	format:font-size-decrease	Alt+Shift+R	body	Hancom Hwp shortcut table	implemented	P0	block-font-size-shortcuts.test.mjs	한컴 기본 별칭 추가
KS-FORMAT-010	서식	Alt+Shift+A	줄 간격 줄이기	format:line-spacing-decrease	Alt+Shift+A	body	Hancom Hwp shortcut table	partial	P1	manual	저장/재열기와 다중 문단 검증 필요
